"pesticide","food","EDI_prob","HQ_p5","HQ_p50","HQ_p95","HQ_exceed","LCR_p5","LCR_p50","LCR_p95","LCR_exceed"
"Heptachlor","Khat",0.000182710267441377,0.00858731585720908,0.108248163310975,1.42837914302482,7.7,1.93214606787204e-05,0.000243558367449693,0.00321385307180585,71.42
"Heptachlor","Milk",0.000389891888014493,0.0797274863129937,0.450924535565044,2.46291998261355,22.11,0.000179386844204236,0.00101458020502135,0.00554156996088049,98.57
"Heptachlor","Onion",0.00106506430230373,0.230538279619066,1.27822122394243,6.73886630596528,59.39,0.000518711129142898,0.00287599775387048,0.0151624491884219,99.94
"Heptachlor","Potato",0.00109321467950988,0.276130165754185,1.36929066658733,6.76779542704562,63.14,0.000621292872946916,0.0030809039998215,0.0152275397108527,99.99
"Heptachlor Epoxide","Khat",0.0100381797170884,137.104570276521,540.140735406141,2177.252388922,100,0.0162194706637125,0.0638986489985465,0.257568957609472,100
"Heptachlor Epoxide","Milk",0.00100887361737177,8.94450621453365,46.2117917892591,241.532526025433,100,0.00105813508517933,0.00546685496866935,0.0285732978288087,100
"Heptachlor Epoxide","Tea",0.00327519399919465,44.4191918083825,179.74291561992,696.706210072033,100,0.00525479039093165,0.0212635869178365,0.0824203446515214,100
"Hexachlorobenzene","Milk",0.000609011165852274,0.0965697301653354,0.475396928678578,2.35997583357588,21.92,0.000123609254611629,0.00060850806870858,0.00302076906697713,96.79
"Hexachlorobenzene","Tomato",1.12240438323771e-05,2.03098502168073e-06,0.000211334658093097,0.0230086381595085,0.18,2.59966082775133e-09,2.70508362359164e-07,2.94510568441708e-05,1.87
"Hexaconazole","Honey",4.06827460145291e-05,0.000131995604154892,0.00209037382287403,0.0306695195946783,0,NA,NA,NA,NA
"Imidacloprid","Fish",6.00562507982614e-05,1.13271179642942e-06,5.54968738436227e-05,0.00281740419273838,0,NA,NA,NA,NA
"Lambda-Cyhalothrin","Drinking Water",0.000260393302383712,0.020794903306917,0.0755043116795935,0.278163647866839,0.1,NA,NA,NA,NA
"Lambda-Cyhalothrin","Onion",0.000124057990326198,0.00105893678153721,0.0145134433439705,0.200062595983306,0.34,NA,NA,NA,NA
"Lambda-Cyhalothrin","Tomato",0.000219803101452977,0.0034957830445847,0.0328535998013608,0.331292227207006,0.76,NA,NA,NA,NA
"Lindane","Cabbage",0.000201566329014147,0.0341936948250089,0.297520050215564,2.45704285963749,17.69,NA,NA,NA,NA
"Lindane","Drinking Water",0.000770711276795244,1.15691879040482,2.34297415765227,4.7981566015842,97.72,NA,NA,NA,NA
"Lindane","Honey",0.000155629735279592,0.031810910306217,0.241083249349782,1.82618811730791,12.08,NA,NA,NA,NA
"Lindane","Onion",0.0043038930341495,2.53768672771291,9.95358212824283,40.266681280113,99.64,NA,NA,NA,NA
"Lindane","Potato",0.00165939640759603,0.850821054557071,3.7399553924739,16.3610604264737,92.72,NA,NA,NA,NA
"Malathion","Honey",5.43365983348514e-05,6.50977768248123e-05,0.000856201527427225,0.0105348977065404,0,NA,NA,NA,NA
"Malathion","Pineapple",0.00041691643428518,0.00235832053321799,0.0125010719510108,0.0656576550579055,0,NA,NA,NA,NA
"Malathion","Potato",0.000352818498354149,0.0017766345327163,0.0102166261907752,0.0569652067498191,0,NA,NA,NA,NA
"Malathion","Tomato",0.000374764589634701,0.00173452556244891,0.0103794147239458,0.0635999142271725,0.01,NA,NA,NA,NA
"Metalaxyl","Drinking Water",0.000235605222444806,0.000615709829144728,0.00265155789935704,0.0113411670340997,0,NA,NA,NA,NA
"Metalaxyl","Honey",5.24928885744707e-05,1.55825777565168e-05,0.000224150563569612,0.00323349672538564,0,NA,NA,NA,NA
"Metalaxyl","Onion",0.000389883543874457,0.000553738350218643,0.0034995229282285,0.0221438223106484,0,NA,NA,NA,NA
"Metalaxyl","Tomato",0.000797583568295971,0.0018604138953458,0.00858488186086538,0.0397768706178294,0,NA,NA,NA,NA
"Methoxychlor","Honey",8.92131740752534e-05,0.00128640788046811,0.00913078694828895,0.0607146046387761,0,NA,NA,NA,NA
"Methoxychlor","Khat",0.000313848300050667,0.00125876891870588,0.0171242259117336,0.228725178365405,0.64,NA,NA,NA,NA
"Methoxychlor","Milk",0.000300885946664462,0.00563919983953201,0.0343882044768764,0.19588310528674,0.07,NA,NA,NA,NA
"Methoxychlor","Onion",0.00022570843036032,0.00607495435785939,0.0287819483662748,0.140774804625816,0.01,NA,NA,NA,NA
"Methoxychlor","Pineapple",0.000213075030068807,0.00446962434315343,0.0246612426055888,0.134952056563673,0.03,NA,NA,NA,NA
"Methoxychlor","Potato",0.000113080814650033,0.000266064444611856,0.00473664151111247,0.087509113260676,0.16,NA,NA,NA,NA
"Methoxychlor","Tea",0.00209739040329757,0.0725717976210276,0.296788841361228,1.173127613189,7.27,NA,NA,NA,NA
"Methoxychlor","Tomato",0.000262373467314038,0.00622704175487131,0.0322934232395896,0.166755217545842,0.02,NA,NA,NA,NA
"Metribuzin","Honey",4.80488372020235e-05,0.000597610603957874,0.0091826427210482,0.143493943526562,0.31,NA,NA,NA,NA
"O,P'-Ddd","Fish",0.00059458548043676,0.00304247952240325,0.101755892800871,3.48421608206383,14.18,3.6509754268839e-07,1.22107071361046e-05,0.00041810592984766,16.13
"O,P'-Ddd","Khat",4.60808351268033e-05,0.00050232667324639,0.0138332710340742,0.368501137107081,1.54,6.02792007895667e-08,1.6599925240889e-06,4.42201364528497e-05,1.94
"O,P'-Dde","Fish",6.91388399464796e-05,3.51649742319454e-05,0.00316881675918953,0.31135974984937,1.79,5.97804561943072e-09,5.3869884906222e-07,5.29311574743929e-05,2.81
"O,P'-Dde","Khat",2.87297211185694e-05,0.000104245056496598,0.00445386757730907,0.207460967442481,0.82,1.77216596044217e-08,7.57157488142541e-07,3.52683644652218e-05,1.56
"O,P'-Ddt","Cabbage",0.00258906956407708,0.84941623389016,3.57008974468468,15.1604293545122,92.77,0.000144400759761327,0.000606915256596396,0.00257727299026707,98.18
"O,P'-Ddt","Drinking Water",0.00172051019663281,1.59360732441254,3.1666095376792,6.22774307203675,99.63,0.000270913245150131,0.000538323621405464,0.00105871632224625,100
"O,P'-Ddt","Fish",0.000182153583760033,0.000479035956976526,0.0233433021802615,1.14265741748845,5.66,8.14361126860095e-08,3.96836137064445e-06,0.000194251760973037,8.56
"O,P'-Ddt","Khat",0.000601223925052678,0.0773940748136884,0.572282216923949,4.30400603739264,33.13,1.3156992718327e-05,9.72879768770713e-05,0.000731681026356748,49.13
"O,P'-Ddt","Meat",0.00128412207016851,0.356370892357928,1.64058981782341,7.92636213760017,69.85,6.05830517008478e-05,0.000278900269029979,0.00134748156339203,86.78
"O,P'-Ddt","Milk",0.00060406966575956,0.0343578642577138,0.373491360466718,4.4505523990207,25.53,5.84083692381135e-06,6.34935312793421e-05,0.000756593907833519,37.92
"O,P'-Ddt","Onion",0.00122196808190153,0.357627440519863,1.62869222048698,7.15744706636378,70.19,6.07966648883767e-05,0.000276877677482787,0.00121676600128184,86.66
"O,P'-Ddt","Potato",0.000298752031290611,0.0311579869732259,0.263410054695218,2.21036781551835,14.93,5.2968577854484e-06,4.47797092981871e-05,0.000375762528638119,26.54
"O,P'-Ddt","Wheat",0.00150640406264924,0.387576997799014,1.82865600322211,9.34268275955194,73.69,6.58880896258323e-05,0.000310871520547759,0.00158825606912383,88.3
"Oxamyl","Fish",0.00207936765509929,3.28281104354255,13.8481212831884,59.8164669342268,99.88,NA,NA,NA,NA
"Oxy-Chlordane","Fish",6.06372306780765e-06,1.84459165615806e-07,4.97051806738196e-05,0.0146130702345467,0.17,3.2280353982766e-11,8.69840661791844e-09,2.55728729104567e-06,0.29
"P,P'-Ddd","Cabbage",0.00138802533860401,0.455080886747277,1.85736533220481,8.08779494237025,76.37,5.46097064096733e-05,0.000222883839864577,0.00097053539308443,82.5
"P,P'-Ddd","Drinking Water",0.00298705311472869,2.91830332332402,5.50584204104368,10.5470697709413,100,0.000350196398798882,0.000660701044925242,0.00126564837251295,100
"P,P'-Ddd","Fish",0.000237457102385256,0.000537550262357297,0.0253269336147738,1.07335692342919,5.43,6.45060314828757e-08,3.03923203377286e-06,0.000128802830811503,6.41
"P,P'-Ddd","Honey",0.00011900512604359,0.0181986300252307,0.123231750214884,0.785061013112288,3.3,2.18383560302769e-06,1.47878100257861e-05,9.42073215734746e-05,4.42
"P,P'-Ddd","Khat",0.000231031805002657,0.0092867632466602,0.126225455378151,1.78553177022277,10.56,1.11441158959922e-06,1.51470546453781e-05,0.000214263812426732,12.67
"P,P'-Ddd","Milk",0.00103150598264164,0.240580931868494,1.23569451046596,6.68651759492104,58.76,2.88697118242193e-05,0.000148283341255915,0.000802382111390524,65.8
"P,P'-Ddd","Onion",0.00132917400045704,0.425525736958067,1.78432524982282,7.58072372210886,74.31,5.10630884349681e-05,0.000214119029978739,0.000909686846653063,80.68
"P,P'-Ddd","Potato",0.000211618799030665,0.0164507163363369,0.16189406889154,1.55761713879358,9.44,1.97408596036043e-06,1.94272882669847e-05,0.00018691405665523,11.97
"P,P'-Dde","Cabbage",0.000942481766054982,0.275249156914966,1.22663780595242,5.69868445563475,59.02,4.67923566755442e-05,0.000208528427011912,0.000968776357457908,79.27
"P,P'-Dde","Corn",0.00197034751295496,0.492035164896888,2.4524082979748,12.347020095462,82.35,8.3645978032471e-05,0.000416909410655715,0.00209899341622854,92.78
"P,P'-Dde","Drinking Water",1.99431285215906e-05,9.7118012974361e-05,0.0036597906213672,0.129612740806517,0.55,1.65100622056414e-08,6.22164405632423e-07,2.20341659371079e-05,1.02
"P,P'-Dde","Fish",0.000331887869630093,0.00135061819116043,0.0512983734743921,2.1016159497649,9.13,2.29605092497273e-07,8.72072349064665e-06,0.000357274711460033,13.81
"P,P'-Dde","Honey",8.89074670580926e-05,0.0121030009300918,0.0866611075150272,0.648626018634064,1.96,2.05751015811561e-06,1.47323882775546e-05,0.000110266423167791,5.92
"P,P'-Dde","Khat",0.000489624450208035,0.0447789860410859,0.39937116759594,3.66800321940317,24.88,7.6124276269846e-06,6.78930984913098e-05,0.00062356054729854,38.33
"P,P'-Dde","Milk",0.000551963386952819,0.0266885522932625,0.334375689335396,4.06615128029079,23.72,4.53705388985463e-06,5.68438671870173e-05,0.000691245717649435,35.74
"P,P'-Dde","Millet",0.007333377327356,2.54781394312012,10.3393019214055,40.5014845384189,99.71,0.000433128370330421,0.00175768132663893,0.00688525237153121,99.96
"P,P'-Dde","Onion",0.000111191376287442,0.0024328288641424,0.0433596079292227,0.881886838933618,4.34,4.13580906904208e-07,7.37113334796787e-06,0.000149920762618715,7.65
"P,P'-Dde","Pineapple",3.9950693143307e-05,0.000104543181202967,0.00534181335098446,0.237034858324997,1.32,1.77723408045045e-08,9.08108269667359e-07,4.02959259152494e-05,2.21
"P,P'-Dde","Potato",0.000126625541894127,0.00260130833327313,0.0529699863106372,0.974729883824785,4.87,4.42222416656432e-07,9.00489767280832e-06,0.000165704080250213,8.76
"P,P'-Dde","Rice",0.00153716026173634,0.466654577091572,2.05546281498856,8.9625963366239,79.23,7.93312781055673e-05,0.000349428678548055,0.00152364137722606,91.74
"P,P'-Dde","Sorghum",0.0072391377624657,2.26780724214427,9.91495899503636,41.5285552946378,99.52,0.000385527231164527,0.00168554302915618,0.00705985440008843,99.95
"P,P'-Dde","Tomato",2.11082417460574e-05,2.95019869782874e-05,0.00189425606973885,0.113352228010274,0.6,5.01533778630885e-09,3.22023531855605e-07,1.92698787617466e-05,1.11
"P,P'-Dde","Wheat",0.00197718876638432,0.526032368594711,2.46336800223792,12.1153131204065,82.97,8.94255026611009e-05,0.000418772560380447,0.0020596032304691,93.42
"P,P'-Ddt","Cabbage",0.00113275994823306,0.35543574053461,1.55613421394814,6.53102956415693,68.39,6.04240758908837e-05,0.000264542816371184,0.00111027502590668,86.25
"P,P'-Ddt","Corn",0.00342238890157015,0.983048027581628,4.49594358455254,20.656841727781,94.82,0.000167118164688877,0.000764310409373933,0.00351166309372278,98.51
"P,P'-Ddt","Drinking Water",0.000503067002815272,0.265298900233893,0.807252570089374,2.408246466453,37.18,4.51008130397617e-05,0.000137232936915194,0.00040940189929701,67.94
"P,P'-Ddt","Fish",0.000219316623858274,0.000727242391927509,0.0339218958811049,1.48410854874955,6.76,1.23631206627677e-07,5.76672229978783e-06,0.000252298453287424,10.52
"P,P'-Ddt","Honey",5.12784989751687e-05,0.00247026290536878,0.0294336079852925,0.382382474531222,1.1,4.19944693912692e-07,5.00371335749972e-06,6.50050206703078e-05,2.66
"P,P'-Ddt","Khat",0.000704399828054264,0.10688289421345,0.726981642863691,4.78957433309992,38.8,1.81700920162864e-05,0.000123586879286827,0.000814227636626987,56.64
"P,P'-Ddt","Milk",0.00195444329055638,0.491431715324996,2.44263734603377,12.0844980093792,82.05,8.35433916052494e-05,0.00041524834882574,0.00205436466159446,92.81
"P,P'-Ddt","Millet",0.00570110277868648,1.72649290536243,7.61471262666341,33.8239615107698,98.91,0.000293503793911613,0.00129450114653278,0.00575007345683087,99.83
"P,P'-Ddt","Onion",0.000192509661683092,0.0119012460711843,0.132179413526933,1.53848420651729,8.6,2.02321183210134e-06,2.24705002995787e-05,0.00026154231510794,15.64
"P,P'-Ddt","Pineapple",6.41013745947871e-05,0.0012788228819998,0.0265314210375334,0.481840206563232,1.96,2.17399889939965e-07,4.51034157638067e-06,8.19128351157495e-05,3.91
"P,P'-Ddt","Potato",0.000467329662800818,0.0318948779534743,0.324534386067149,3.49295596791778,21.22,5.42212925209063e-06,5.51708456314153e-05,0.000593802514546022,33.88
"P,P'-Ddt","Rice",0.00134199561844732,0.380514070314655,1.73365965486855,8.01448335323768,72.95,6.46873919534913e-05,0.000294722141327654,0.00136246217005041,88.44
"P,P'-Ddt","Sorghum",0.00536268261634202,1.76598578462162,7.29561962999727,30.6431780615927,98.79,0.000300217583385676,0.00124025533709954,0.00520934027047076,99.84
"P,P'-Ddt","Tea",0.00383908419830373,1.38214594964965,5.53094547192594,20.8580840776205,97.78,0.000234964811440441,0.00094026073022741,0.00354587429319549,99.68
"P,P'-Ddt","Tomato",3.26958171521467e-05,0.000111495359899184,0.00495646723178747,0.22761538706305,0.99,1.89542111828614e-08,8.42599429403869e-07,3.86946158007184e-05,1.98
"P,P'-Ddt","Wheat",0.0039927363681361,1.19768981350553,5.27279727083544,23.1389802260477,96.67,0.000203607268295939,0.000896375536042025,0.00393362663842811,99.31
"Pirimiphos-Methyl","Fish",4.47736615895016e-05,1.01159567286126e-05,0.000554463117850863,0.02977858827024,0.16,NA,NA,NA,NA
"Profenofos","Cabbage",0.000461845401351449,1.29077387355093e-05,0.00075948339161986,0.0464519116448297,0.16,NA,NA,NA,NA
"Profenofos","Drinking Water",0.00161806029530334,0.023639527209076,0.0489265072174647,0.10137719543984,0,NA,NA,NA,NA
"Profenofos","Milk",0.000281392068944553,0.000567192557866432,0.00436804881427575,0.033601467168448,0,NA,NA,NA,NA
"Profenofos","Onion",2.22230693770527e-05,4.79047419521857e-07,3.15194283434083e-05,0.00200815397578741,0,NA,NA,NA,NA
"Profenofos","Swiss Chard",0.000187728611955335,5.45033270135162e-06,0.000314691435349431,0.0181364720348966,0.07,NA,NA,NA,NA
"Profenofos","Tomato",0.000278073357199857,0.000251768430087262,0.00299767217602645,0.0360732009790483,0,NA,NA,NA,NA
"Propargite","Cabbage",3.72449912118876e-05,5.41179202251713e-07,4.74055051976427e-05,0.0042227427985736,0,NA,NA,NA,NA
"Propargite","Swiss Chard",1.33662486292791e-05,2.04247614476412e-07,1.60434564461761e-05,0.00143585863908244,0,NA,NA,NA,NA
"Propargite","Tomato",6.75387493927392e-05,4.87712965863268e-06,0.000238525127856643,0.0109699165706979,0.01,NA,NA,NA,NA
"Pyrimethanil","Fish",0.000556001489166362,5.97656586093893e-05,0.000902283928872103,0.0133493561577286,0,NA,NA,NA,NA
"Rotenone","Honey",5.95810989778698e-05,0.00046045096241,0.00511381390500009,0.0576853173275238,0.02,NA,NA,NA,NA
"Tebuconazole","Fish",8.75427555448268e-05,2.88444117781422e-06,0.000130783657846987,0.00618008399119682,0.01,NA,NA,NA,NA
"Tebuconazole","Honey",8.98547841677748e-05,0.000122002275433983,0.00117515691182583,0.0109891437520767,0,NA,NA,NA,NA
"Thiamethoxam","Honey",7.4787754743288e-05,0.000105288649474807,0.00108949642016192,0.0111378682529582,0,NA,NA,NA,NA
"Trans-Chlordane","Cabbage",0.000160242217426502,0.0114917546742805,0.116400097644516,1.19627714881091,6.66,2.01105706799909e-06,2.03700170877903e-05,0.000209348501041909,13.29
"Trans-Chlordane","Drinking Water",0.000137997575533358,0.0310393649746807,0.165500830178469,0.866938419408859,3.65,5.43188887056912e-06,2.89626452812321e-05,0.00015171422339655,11.11
"Trans-Chlordane","Fish",8.11352774324301e-05,2.01079008693924e-05,0.00242037636498596,0.275353907759806,1.83,3.51888265214367e-09,4.23565863872542e-07,4.8186933857966e-05,2.93
"Trans-Chlordane","Honey",3.63288985348439e-05,0.00114236389845937,0.0180373646253514,0.282103364763551,0.8,1.9991368223039e-07,3.15653880943649e-06,4.93680888336214e-05,1.98
"Trans-Chlordane","Khat",0.000351562318269972,0.0137384029469849,0.191159759924145,2.612837405956,15.36,2.40422051572236e-06,3.34529579867253e-05,0.0004572465460423,24.9
"Trans-Chlordane","Onion",0.000235943647458987,0.0266531849380243,0.211128770244458,1.67988433640028,11.01,4.66430736415425e-06,3.69475347927802e-05,0.000293979758870048,21.84
"Trans-Chlordane","Potato",0.000175154579961381,0.0112169235737726,0.1200351222216,1.23659562216856,6.91,1.9629616254102e-06,2.100614638878e-05,0.000216404233879499,14.24
"Trans-Chlordane","Tea",0.00353620670591477,1.19946074716818,4.98864478896354,19.6296442375653,96.76,0.000209905630754432,0.00087301283806862,0.00343518774157393,99.46
"Trans-Chlordane","Tomato",0.000100336055888399,0.00817345894675271,0.07578859906268,0.741651945868257,3.13,1.43035531568172e-06,1.3263004835969e-05,0.000129789090526945,7.22
"Trans-Heptachlor-Epoxide","Fish",2.21157084074177e-05,0.000308002670749754,0.0314265632001475,3.80123535625571,12.14,3.64367159496959e-08,3.71776242657745e-06,0.00044968614264505,13.15
"Trans-Nonachlor","Fish",2.62990936722066e-05,NA,NA,NA,NA,NA,NA,NA,NA
